teachingHoursId,Course Instance,Teacher Id,Assigned Hours,Reported Hours
101,I-41,19750122-0056,140.0,138.0
102,I-41,19920826-0088,100.0,116.0
103,I-42,19600529-0021,260.0,272.0
104,I-42,19781217-0053,120.0,114.0
105,I-43,19611219-0014,260.0,241.0
106,I-43,19750705-0033,140.0,153.0
107,I-43,19930512-0117,120.0,119.0
108,I-44,19611219-0014,280.0,267.0
109,I-44,19780815-0047,140.0,139.0
110,I-45,19640414-0013,240.0,224.0
111,I-45,19750331-0036,100.0,93.0
112,I-45,19910403-0131,100.0,104.0
113,I-46,19650303-0019,260.0,280.0
114,I-46,19750331-0036,120.0,103.0
115,I-47,19690513-0015,280.0,278.0
116,I-47,19780815-0047,140.0,121.0
117,I-48,19600814-0002,280.0,284.0
118,I-48,19751018-0039,120.0,120.0
119,I-49,19560612-0010,280.0,291.0
120,I-49,19770224-0058,100.0,87.0
121,I-49,19930616-0127,140.0,149.0
122,I-50,19560612-0010,260.0,250.0
123,I-50,19750102-0059,140.0,133.0
124,I-51,19560705-0025,260.0,240.0
125,I-51,19761009-0055,120.0,121.0
126,I-52,19610918-0027,260.0,259.0
127,I-52,19790426-0049,100.0,87.0
128,I-52,19910101-0133,140.0,137.0
129,I-53,19680712-0028,260.0,278.0
130,I-53,19790702-0038,140.0,141.0
131,I-53,19911116-0069,120.0,131.0
132,I-54,19690513-0015,240.0,221.0
133,I-54,19760524-0046,140.0,124.0
134,I-54,19931118-0062,140.0,129.0
135,I-55,19680712-0028,260.0,273.0
136,I-55,19750705-0033,120.0,132.0
137,I-56,19570826-0012,240.0,241.0
138,I-56,19760524-0046,100.0,85.0
139,I-56,19920505-0115,100.0,103.0
140,I-57,19640220-0029,240.0,233.0
141,I-57,19780602-0035,140.0,155.0
142,I-58,19561222-0030,260.0,271.0
143,I-58,19790426-0049,140.0,158.0
144,I-59,19630126-0001,240.0,231.0
145,I-59,19780815-0047,100.0,96.0
146,I-59,19920505-0115,140.0,129.0
147,I-60,19600529-0021,240.0,252.0
148,I-60,19761020-0044,140.0,144.0
149,I-61,19610918-0027,260.0,275.0
150,I-61,19750331-0036,140.0,154.0
151,I-62,19650303-0019,240.0,224.0
152,I-62,19790618-0048,140.0,137.0
153,I-62,19930709-0100,100.0,108.0
154,I-63,19640414-0013,240.0,248.0
155,I-63,19770713-0042,120.0,131.0
156,I-64,19690408-0009,280.0,261.0
157,I-64,19761009-0055,120.0,137.0
158,I-65,19560812-0016,240.0,242.0
159,I-65,19781130-0054,120.0,120.0
160,I-66,19620424-0026,280.0,283.0
161,I-66,19790702-0038,120.0,124.0
162,I-67,19620831-0024,280.0,274.0
163,I-67,19761009-0055,140.0,127.0
164,I-68,19610918-0027,240.0,256.0
165,I-68,19760108-0050,100.0,120.0
166,I-69,19610918-0027,240.0,246.0
167,I-69,19790717-0045,100.0,115.0
168,I-69,19930829-0082,100.0,101.0
169,I-70,19600529-0021,260.0,271.0
170,I-70,19781125-0031,100.0,91.0
171,I-70,19900520-0063,140.0,133.0
172,I-71,19601021-0018,280.0,260.0
173,I-71,19761024-0034,120.0,106.0
174,I-71,19900909-0123,100.0,117.0
175,I-72,19610918-0027,240.0,246.0
176,I-72,19760108-0050,120.0,121.0
177,I-72,19920602-0073,120.0,100.0
178,I-73,19690513-0015,280.0,295.0
179,I-73,19790426-0049,140.0,141.0
180,I-73,19920320-0121,140.0,158.0
181,I-74,19561222-0030,260.0,269.0
182,I-74,19750331-0036,140.0,147.0
183,I-74,19930829-0082,140.0,131.0
184,I-75,19620424-0026,280.0,281.0
185,I-75,19760524-0046,120.0,117.0
186,I-75,19920828-0070,100.0,84.0
187,I-76,19580218-0007,280.0,265.0
188,I-76,19761009-0055,100.0,97.0
189,I-76,19911025-0091,140.0,131.0
190,I-77,19660630-0020,240.0,251.0
191,I-77,19781130-0054,100.0,113.0
192,I-78,19560812-0016,280.0,282.0
193,I-78,19750512-0043,140.0,136.0
194,I-79,19640220-0029,240.0,254.0
195,I-79,19770713-0042,120.0,140.0
196,I-80,19580218-0007,280.0,296.0
197,I-80,19750722-0060,120.0,100.0
198,I-81,19561222-0030,280.0,295.0
199,I-81,19770713-0042,120.0,133.0
200,I-82,19560705-0025,260.0,278.0
201,I-82,19771013-0040,140.0,137.0
202,I-82,19920320-0121,100.0,101.0
203,I-83,19610620-0006,260.0,248.0
204,I-83,19780602-0035,140.0,133.0
205,I-83,19911025-0091,120.0,102.0
206,I-84,19660630-0020,260.0,277.0
207,I-84,19750122-0056,100.0,99.0
208,I-85,19560705-0025,260.0,258.0
209,I-85,19790702-0038,140.0,139.0
210,I-85,19910927-0128,120.0,126.0
211,I-86,19570615-0011,240.0,260.0
212,I-86,19780815-0047,140.0,145.0
213,I-87,19610918-0027,280.0,264.0
214,I-87,19780424-0057,120.0,133.0
215,I-88,19600905-0003,280.0,265.0
216,I-88,19751018-0039,120.0,108.0
217,I-88,19931231-0099,140.0,153.0
218,I-89,19620522-0023,260.0,246.0
219,I-89,19761024-0034,120.0,124.0
220,I-89,19930829-0082,120.0,128.0
221,I-90,19620831-0024,280.0,290.0
222,I-90,19780815-0047,140.0,123.0
223,I-90,19910206-0081,120.0,131.0
224,I-91,19680712-0028,240.0,248.0
225,I-91,19780424-0057,100.0,109.0
226,I-91,19900520-0063,120.0,126.0
227,I-92,19640220-0029,260.0,266.0
228,I-92,19781217-0053,120.0,123.0
229,I-93,19580515-0017,260.0,250.0
230,I-93,19761020-0044,100.0,81.0
231,I-94,19630126-0001,280.0,276.0
232,I-94,19790708-0041,120.0,116.0
233,I-94,19900317-0083,140.0,122.0
234,I-95,19690513-0015,240.0,230.0
235,I-95,19751018-0039,140.0,150.0
236,I-95,19901002-0085,100.0,98.0
237,I-96,19560812-0016,260.0,277.0
238,I-96,19780317-0052,140.0,132.0
239,I-96,19900317-0083,140.0,125.0
240,I-97,19640414-0013,280.0,296.0
241,I-97,19750906-0032,120.0,113.0
242,I-97,19930508-0061,100.0,107.0
243,I-98,19650303-0019,240.0,242.0
244,I-98,19750417-0051,100.0,93.0
245,I-99,19580218-0007,280.0,295.0
246,I-99,19750906-0032,140.0,139.0
247,I-100,19680712-0028,240.0,260.0
248,I-100,19750331-0036,100.0,111.0
249,I-101,19580218-0007,280.0,286.0
250,I-101,19780602-0035,120.0,130.0
251,I-101,19930326-0132,120.0,132.0
252,I-102,19570615-0011,240.0,237.0
253,I-102,19770713-0042,100.0,96.0
254,I-103,19650303-0019,260.0,259.0
255,I-103,19760108-0050,120.0,112.0
256,I-103,19930919-0137,100.0,103.0
257,I-104,19650303-0019,280.0,282.0
258,I-104,19751018-0039,140.0,157.0
259,I-104,19921218-0101,120.0,110.0
260,I-105,19650303-0019,260.0,264.0
261,I-105,19761009-0055,120.0,110.0
262,I-106,19610918-0027,280.0,276.0
263,I-106,19790426-0049,100.0,97.0
264,I-106,19920122-0065,100.0,100.0
265,I-107,19600529-0021,260.0,265.0
266,I-107,19750331-0036,120.0,121.0
267,I-108,19590129-0004,240.0,244.0
268,I-108,19761009-0055,100.0,95.0
269,I-109,19570826-0012,260.0,277.0
270,I-109,19790717-0045,140.0,135.0
271,I-110,19570828-0008,260.0,278.0
272,I-110,19750417-0051,140.0,124.0
273,I-110,19920122-0065,100.0,91.0
274,I-111,19600529-0021,280.0,292.0
275,I-111,19750512-0043,140.0,148.0
276,I-111,19900616-0124,120.0,101.0
277,I-112,19561222-0030,260.0,263.0
278,I-112,19750417-0051,140.0,157.0
279,I-112,19910404-0102,140.0,136.0
280,I-113,19690917-0022,260.0,248.0
281,I-113,19760524-0046,100.0,88.0
282,I-114,19620522-0023,260.0,240.0
283,I-114,19760524-0046,140.0,123.0
284,I-115,19640414-0013,260.0,261.0
285,I-115,19770224-0058,120.0,126.0
286,I-115,19900511-0134,120.0,120.0
287,I-116,19560812-0016,260.0,278.0
288,I-116,19781217-0053,120.0,101.0
289,I-117,19601021-0018,280.0,290.0
290,I-117,19781217-0053,100.0,93.0
291,I-117,19921127-0120,100.0,82.0
292,I-118,19611219-0014,280.0,262.0
293,I-118,19790426-0049,100.0,113.0
294,I-118,19921123-0108,120.0,139.0
295,I-119,19610623-0005,260.0,262.0
296,I-119,19780317-0052,100.0,119.0
297,I-119,19930919-0137,140.0,159.0
298,I-120,19690513-0015,240.0,248.0
299,I-120,19781217-0053,100.0,100.0
300,I-121,19640220-0029,280.0,282.0
301,I-121,19780317-0052,120.0,122.0
302,I-121,19920826-0088,120.0,122.0
303,I-122,19690917-0022,260.0,254.0
304,I-122,19790702-0038,140.0,121.0
305,I-122,19920316-0107,120.0,123.0
306,I-123,19660630-0020,260.0,247.0
307,I-123,19790702-0038,140.0,121.0
308,I-124,19580218-0007,280.0,297.0
309,I-124,19760524-0046,140.0,123.0
310,I-124,19930228-0086,100.0,94.0
311,I-125,19561222-0030,240.0,226.0
312,I-125,19750906-0032,100.0,104.0
313,I-125,19921208-0097,140.0,151.0
314,I-126,19570828-0008,260.0,260.0
315,I-126,19781130-0054,140.0,151.0
316,I-126,19900128-0095,120.0,134.0
317,I-127,19590129-0004,240.0,246.0
318,I-127,19761020-0044,100.0,86.0
319,I-128,19570826-0012,280.0,275.0
320,I-128,19780424-0057,140.0,123.0
321,I-128,19901219-0125,120.0,104.0
322,I-129,19560812-0016,280.0,282.0
323,I-129,19770713-0042,100.0,89.0
324,I-129,19931118-0062,120.0,129.0
325,I-130,19610623-0005,260.0,277.0
326,I-130,19790618-0048,120.0,128.0
327,I-131,19640414-0013,280.0,270.0
328,I-131,19790708-0041,100.0,84.0
329,I-131,19921208-0097,140.0,147.0
330,I-132,19560812-0016,260.0,252.0
331,I-132,19770713-0042,120.0,101.0
332,I-132,19910514-0068,100.0,98.0
333,I-133,19570826-0012,240.0,243.0
334,I-133,19760108-0050,140.0,156.0
335,I-133,19930228-0086,140.0,135.0
336,I-134,19650303-0019,260.0,279.0
337,I-134,19771013-0040,100.0,109.0
338,I-134,19910822-0122,120.0,134.0
339,I-135,19690513-0015,240.0,222.0
340,I-135,19780317-0052,120.0,124.0
341,I-135,19900723-0126,100.0,113.0
342,I-136,19650303-0019,260.0,249.0
343,I-136,19750417-0051,100.0,106.0
344,I-137,19690917-0022,260.0,261.0
345,I-137,19781130-0054,140.0,125.0
346,I-138,19610623-0005,280.0,298.0
347,I-138,19760108-0050,100.0,85.0
348,I-139,19560812-0016,280.0,274.0
349,I-139,19780602-0035,100.0,102.0
350,I-140,19560812-0016,240.0,224.0
351,I-140,19780317-0052,100.0,88.0
352,I-141,19640414-0013,240.0,243.0
353,I-141,19750331-0036,100.0,86.0
354,I-141,19931226-0118,100.0,90.0
355,I-142,19590129-0004,240.0,220.0
356,I-142,19760108-0050,100.0,83.0
357,I-143,19650303-0019,240.0,220.0
358,I-143,19750906-0032,100.0,91.0
359,I-144,19660630-0020,280.0,273.0
360,I-144,19750705-0033,100.0,103.0
361,I-145,19600529-0021,240.0,222.0
362,I-145,19750906-0032,100.0,95.0
363,I-146,19580218-0007,260.0,244.0
364,I-146,19780424-0057,100.0,102.0
365,I-147,19560812-0016,240.0,255.0
366,I-147,19750331-0036,100.0,106.0
367,I-147,19920226-0075,140.0,126.0
368,I-148,19640414-0013,280.0,284.0
369,I-148,19790426-0049,140.0,144.0
370,I-148,19910514-0068,140.0,120.0
371,I-149,19610623-0005,280.0,263.0
372,I-149,19750512-0043,140.0,154.0
373,I-150,19561222-0030,260.0,275.0
374,I-150,19750122-0056,100.0,89.0
375,I-151,19680712-0028,260.0,248.0
376,I-151,19751018-0039,100.0,94.0
377,I-152,19611219-0014,280.0,292.0
378,I-152,19780317-0052,120.0,131.0
379,I-152,19920504-0093,120.0,111.0
380,I-153,19580515-0017,260.0,252.0
381,I-153,19750705-0033,140.0,135.0
382,I-154,19610620-0006,260.0,250.0
383,I-154,19761009-0055,100.0,112.0
384,I-154,19910101-0133,140.0,150.0
385,I-155,19570826-0012,280.0,285.0
386,I-155,19790702-0038,140.0,159.0
387,I-155,19910927-0128,140.0,126.0
388,I-156,19600814-0002,260.0,255.0
389,I-156,19761024-0034,100.0,85.0
390,I-156,19910421-0067,140.0,134.0
391,I-157,19560612-0010,280.0,293.0
392,I-157,19750417-0051,120.0,103.0
393,I-158,19570615-0011,240.0,225.0
394,I-158,19750906-0032,140.0,158.0
395,I-159,19580218-0007,260.0,279.0
396,I-159,19790618-0048,140.0,121.0
397,I-159,19931203-0066,120.0,123.0
398,I-160,19570615-0011,240.0,260.0
399,I-160,19750122-0056,140.0,143.0
400,I-161,19570826-0012,280.0,281.0
401,I-161,19760524-0046,100.0,98.0
402,I-161,19900701-0138,140.0,155.0
403,I-162,19640414-0013,240.0,237.0
404,I-162,19750906-0032,140.0,121.0
405,I-163,19561222-0030,280.0,297.0
406,I-163,19781217-0053,100.0,102.0
407,I-164,19600814-0002,280.0,288.0
408,I-164,19750102-0059,100.0,110.0
409,I-165,19650303-0019,240.0,243.0
410,I-165,19750705-0033,120.0,134.0
411,I-165,19900317-0083,120.0,122.0
412,I-166,19610918-0027,240.0,235.0
413,I-166,19751018-0039,120.0,107.0
414,I-167,19580515-0017,260.0,246.0
415,I-167,19770713-0042,140.0,136.0
416,I-167,19920602-0073,100.0,115.0
417,I-168,19570828-0008,280.0,267.0
418,I-168,19750722-0060,120.0,131.0
419,I-169,19640414-0013,260.0,265.0
420,I-169,19771013-0040,100.0,120.0
421,I-170,19610918-0027,280.0,276.0
422,I-170,19780317-0052,120.0,128.0
423,I-170,19910206-0081,120.0,121.0
424,I-171,19690917-0022,280.0,280.0
425,I-171,19771013-0040,120.0,122.0
426,I-171,19900616-0124,140.0,159.0
427,I-172,19580218-0007,280.0,298.0
428,I-172,19780602-0035,120.0,116.0
429,I-172,19900430-0112,100.0,120.0
430,I-173,19680712-0028,280.0,276.0
431,I-173,19781125-0031,140.0,131.0
432,I-174,19620831-0024,260.0,261.0
433,I-174,19790426-0049,120.0,114.0
434,I-174,19921002-0129,120.0,106.0
435,I-175,19611219-0014,280.0,270.0
436,I-175,19750512-0043,100.0,86.0
437,I-175,19900723-0126,120.0,130.0
438,I-176,19580515-0017,260.0,267.0
439,I-176,19781217-0053,140.0,146.0
440,I-177,19660630-0020,260.0,271.0
441,I-177,19760108-0050,140.0,153.0
442,I-178,19570826-0012,280.0,264.0
443,I-178,19750705-0033,120.0,111.0
444,I-179,19630126-0001,260.0,276.0
445,I-179,19790618-0048,100.0,110.0
446,I-179,19921208-0097,140.0,145.0
447,I-180,19690513-0015,240.0,255.0
448,I-180,19750512-0043,120.0,128.0
449,I-180,19920226-0075,100.0,118.0
450,I-181,19580515-0017,280.0,261.0
451,I-181,19750122-0056,100.0,86.0
452,I-181,19920505-0115,120.0,122.0
453,I-182,19640220-0029,240.0,244.0
454,I-182,19761009-0055,100.0,91.0
455,I-182,19921002-0129,100.0,84.0
456,I-183,19570615-0011,240.0,227.0
457,I-183,19780424-0057,100.0,107.0
458,I-184,19660630-0020,280.0,280.0
459,I-184,19790708-0041,120.0,124.0
460,I-184,19910101-0133,100.0,101.0
461,I-185,19690513-0015,240.0,240.0
462,I-185,19750417-0051,140.0,155.0
463,I-186,19610918-0027,280.0,268.0
464,I-186,19781125-0031,100.0,106.0
465,I-187,19560705-0025,280.0,273.0
466,I-187,19750220-0037,100.0,89.0
467,I-187,19931118-0062,120.0,115.0
468,I-188,19690917-0022,240.0,257.0
469,I-188,19780602-0035,120.0,106.0
470,I-188,19900619-0076,100.0,104.0
471,I-189,19600905-0003,240.0,237.0
472,I-189,19750122-0056,140.0,150.0
473,I-189,19910327-0096,140.0,135.0
474,I-190,19610623-0005,280.0,278.0
475,I-190,19760524-0046,140.0,159.0
476,I-190,19900902-0114,140.0,155.0
477,I-191,19690917-0022,240.0,250.0
478,I-191,19780317-0052,120.0,132.0
479,I-192,19560705-0025,260.0,254.0
480,I-192,19750122-0056,120.0,124.0
481,I-192,19920206-0072,120.0,106.0
482,I-193,19600905-0003,280.0,290.0
483,I-193,19761020-0044,100.0,84.0
484,I-194,19601021-0018,280.0,272.0
485,I-194,19790426-0049,100.0,97.0
486,I-194,19900128-0095,100.0,107.0
487,I-195,19620424-0026,280.0,273.0
488,I-195,19790717-0045,120.0,123.0
489,I-196,19580218-0007,280.0,289.0
490,I-196,19780815-0047,120.0,118.0
491,I-196,19930829-0082,120.0,100.0
492,I-197,19590129-0004,280.0,265.0
493,I-197,19750331-0036,100.0,86.0
494,I-198,19610623-0005,260.0,275.0
495,I-198,19750220-0037,100.0,98.0
496,I-198,19930829-0082,140.0,126.0
497,I-199,19560612-0010,280.0,300.0
498,I-199,19790702-0038,120.0,123.0
499,I-200,19630126-0001,240.0,259.0
500,I-200,19781125-0031,120.0,107.0
501,I-200,19901029-0071,140.0,157.0
502,I-201,19690513-0015,260.0,273.0
503,I-201,19790717-0045,120.0,139.0
504,I-201,19930221-0139,120.0,109.0
505,I-202,19690513-0015,280.0,274.0
506,I-202,19790717-0045,120.0,129.0
507,I-203,19611219-0014,240.0,243.0
508,I-203,19780815-0047,120.0,104.0
509,I-204,19610620-0006,240.0,248.0
510,I-204,19790426-0049,140.0,127.0
511,I-205,19600814-0002,280.0,281.0
512,I-205,19750220-0037,120.0,128.0
513,I-206,19580515-0017,280.0,282.0
514,I-206,19780602-0035,140.0,133.0
515,I-206,19900321-0080,120.0,119.0
516,I-207,19590129-0004,240.0,230.0
517,I-207,19771013-0040,140.0,156.0
518,I-208,19680712-0028,240.0,239.0
519,I-208,19750722-0060,100.0,81.0
520,I-209,19590129-0004,280.0,261.0
521,I-209,19750512-0043,140.0,130.0
522,I-210,19570615-0011,280.0,265.0
523,I-210,19770224-0058,120.0,119.0
524,I-210,19930906-0110,120.0,107.0
525,I-211,19690513-0015,260.0,240.0
526,I-211,19780317-0052,100.0,105.0
527,I-211,19900616-0124,120.0,105.0
528,I-212,19630126-0001,240.0,246.0
529,I-212,19761020-0044,100.0,105.0
530,I-213,19570828-0008,240.0,220.0
531,I-213,19780317-0052,100.0,101.0
532,I-214,19580515-0017,280.0,290.0
533,I-214,19790708-0041,140.0,129.0
534,I-214,19930326-0132,100.0,115.0
535,I-215,19630126-0001,280.0,293.0
536,I-215,19780317-0052,140.0,148.0
537,I-215,19911116-0069,100.0,101.0
538,I-216,19610623-0005,280.0,264.0
539,I-216,19750331-0036,100.0,101.0
540,I-216,19920226-0075,140.0,140.0
541,I-217,19580218-0007,280.0,261.0
542,I-217,19781130-0054,100.0,84.0
543,I-218,19650303-0019,260.0,270.0
544,I-218,19790426-0049,140.0,120.0
545,I-218,19900616-0124,100.0,85.0
546,I-219,19561222-0030,240.0,243.0
547,I-219,19750512-0043,100.0,108.0
548,I-220,19610918-0027,260.0,278.0
549,I-220,19751018-0039,120.0,122.0
550,I-220,19920122-0065,100.0,104.0
551,I-221,19610620-0006,280.0,290.0
552,I-221,19750722-0060,140.0,125.0
553,I-222,19580515-0017,260.0,250.0
554,I-222,19750705-0033,120.0,102.0
555,I-223,19640220-0029,280.0,266.0
556,I-223,19790426-0049,120.0,109.0
557,I-224,19690408-0009,260.0,253.0
558,I-224,19790426-0049,140.0,136.0
559,I-225,19690408-0009,260.0,246.0
560,I-225,19790702-0038,120.0,120.0
561,I-225,19900128-0095,140.0,126.0
562,I-226,19580515-0017,280.0,264.0
563,I-226,19750512-0043,140.0,141.0
564,I-227,19560812-0016,240.0,245.0
565,I-227,19771013-0040,100.0,119.0
566,I-228,19560812-0016,280.0,278.0
567,I-228,19790708-0041,100.0,84.0
568,I-228,19900511-0134,100.0,85.0
569,I-229,19611219-0014,280.0,285.0
570,I-229,19781217-0053,120.0,100.0
571,I-229,19921218-0101,100.0,95.0
572,I-230,19660630-0020,280.0,271.0
573,I-230,19790702-0038,120.0,110.0
574,I-231,19600814-0002,280.0,289.0
575,I-231,19770224-0058,100.0,98.0
576,I-232,19611219-0014,280.0,268.0
577,I-232,19760108-0050,120.0,116.0
578,I-233,19620831-0024,260.0,263.0
579,I-233,19760524-0046,100.0,115.0
580,I-234,19560705-0025,240.0,230.0
581,I-234,19750705-0033,140.0,126.0
582,I-235,19570826-0012,240.0,259.0
583,I-235,19790708-0041,140.0,151.0
584,I-236,19600529-0021,240.0,224.0
585,I-236,19780424-0057,140.0,141.0
586,I-237,19660630-0020,240.0,241.0
587,I-237,19750512-0043,100.0,118.0
588,I-238,19611219-0014,240.0,223.0
589,I-238,19750417-0051,140.0,135.0
590,I-238,19910122-0077,120.0,105.0
591,I-239,19600529-0021,280.0,275.0
592,I-239,19781130-0054,120.0,138.0
593,I-240,19600814-0002,280.0,284.0
594,I-240,19770224-0058,120.0,135.0
595,I-240,19900801-0130,100.0,96.0
596,I-241,19690917-0022,280.0,287.0
597,I-241,19760524-0046,120.0,131.0
598,I-242,19600905-0003,240.0,255.0
599,I-242,19780602-0035,120.0,119.0
600,I-243,19560705-0025,260.0,261.0
601,I-243,19780815-0047,120.0,122.0
602,I-244,19690917-0022,260.0,263.0
603,I-244,19790708-0041,120.0,100.0
604,I-244,19921201-0094,100.0,107.0
605,I-245,19580218-0007,280.0,288.0
606,I-245,19781125-0031,140.0,137.0
607,I-245,19900317-0083,100.0,98.0
608,I-246,19690917-0022,260.0,243.0
609,I-246,19750220-0037,140.0,122.0
610,I-247,19620831-0024,280.0,295.0
611,I-247,19790708-0041,140.0,155.0
612,I-248,19620831-0024,240.0,242.0
613,I-248,19761009-0055,100.0,97.0
614,I-248,19931118-0062,140.0,132.0
615,I-249,19690408-0009,240.0,254.0
616,I-249,19750102-0059,120.0,110.0
617,I-249,19900902-0114,120.0,108.0
618,I-250,19620522-0023,240.0,223.0
619,I-250,19750122-0056,100.0,118.0
620,I-251,19560705-0025,240.0,221.0
621,I-251,19760108-0050,120.0,137.0
622,I-251,19921127-0120,140.0,151.0
623,I-252,19610623-0005,260.0,256.0
624,I-252,19771013-0040,100.0,109.0
625,I-252,19920828-0070,120.0,124.0
626,I-253,19611219-0014,280.0,286.0
627,I-253,19750102-0059,100.0,93.0
628,I-254,19580515-0017,260.0,273.0
629,I-254,19780602-0035,140.0,141.0
630,I-255,19630126-0001,240.0,249.0
631,I-255,19780815-0047,100.0,93.0
632,I-256,19560705-0025,240.0,236.0
633,I-256,19790618-0048,120.0,137.0
634,I-257,19610918-0027,260.0,240.0
635,I-257,19750417-0051,120.0,134.0
636,I-257,19920828-0070,120.0,115.0
637,I-258,19690917-0022,240.0,260.0
638,I-258,19780317-0052,140.0,120.0
639,I-258,19920602-0073,100.0,91.0
640,I-259,19640414-0013,280.0,291.0
641,I-259,19781217-0053,100.0,111.0
642,I-260,19630126-0001,280.0,262.0
643,I-260,19790618-0048,140.0,127.0
644,I-260,19920320-0121,140.0,157.0
645,I-261,19610918-0027,260.0,246.0
646,I-261,19761009-0055,120.0,133.0
647,I-261,19930512-0117,140.0,136.0
648,I-262,19620522-0023,280.0,284.0
649,I-262,19750705-0033,120.0,128.0
650,I-263,19560705-0025,240.0,232.0
651,I-263,19790708-0041,120.0,127.0
652,I-264,19580218-0007,260.0,266.0
653,I-264,19761020-0044,120.0,110.0
654,I-265,19560705-0025,260.0,240.0
655,I-265,19790708-0041,100.0,97.0
656,I-266,19660630-0020,240.0,232.0
657,I-266,19761009-0055,140.0,157.0
658,I-266,19921002-0129,140.0,160.0
659,I-267,19600529-0021,280.0,267.0
660,I-267,19750331-0036,120.0,138.0
661,I-268,19690408-0009,240.0,253.0
662,I-268,19750331-0036,120.0,110.0
663,I-268,19920504-0093,140.0,122.0
