Course code,Study period,Academic year,Instance_id,Examiner,Planned number of Students,Senior Hours,Assistant Hours
1082,3.0,2017-2018,I-51,19690408-0009,50,260,360
1033,1.0,2017-2018,I-52,19561222-0030,20,240,300
1144,3.0,2018-2019,I-53,19650303-0019,60,280,420
1250,1.0,2018-2019,I-54,19690513-0015,60,280,300
1243,2.0,2018-2019,I-55,19620522-0023,50,240,240
1147,2.0,2018-2019,I-56,19640220-0029,20,280,360
1133,1.0,2018-2019,I-57,19620831-0024,60,280,300
1239,3.0,2018-2019,I-58,19690408-0009,40,260,300
1220,1.0,2018-2019,I-59,19620424-0026,40,260,240
1178,3.0,2018-2019,I-60,19690408-0009,60,260,240
1168,2.0,2018-2019,I-61,19580218-0007,20,260,300
1078,2.0,2018-2019,I-62,19580218-0007,50,260,420
1027,3.0,2018-2019,I-63,19601021-0018,40,260,200
1157,3.0,2019-2020,I-64,19570826-0012,50,240,200
1244,2.0,2019-2020,I-65,19690917-0022,40,260,300
1183,3.0,2019-2020,I-66,19650303-0019,20,280,280
1108,2.0,2019-2020,I-67,19560812-0016,40,240,300
1267,2.0,2019-2020,I-68,19611219-0014,40,260,240
1250,4.0,2019-2020,I-69,19640220-0029,60,240,280
1246,3.0,2019-2020,I-70,19620831-0024,40,260,420
1135,1.0,2019-2020,I-71,19560812-0016,20,260,200
1099,2.0,2019-2020,I-72,19610620-0006,60,240,300
1284,2.0,2020-2021,I-73,19600814-0002,60,260,420
1239,1.0,2020-2021,I-74,19601021-0018,50,240,420
1155,1.0,2020-2021,I-75,19570615-0011,20,260,360
1130,4.0,2020-2021,I-76,19560812-0016,50,280,360
1278,4.0,2020-2021,I-77,19600905-0003,60,280,240
1204,1.0,2020-2021,I-78,19690408-0009,20,240,240
1092,2.0,2020-2021,I-79,19690917-0022,50,260,200
1060,4.0,2020-2021,I-80,19611219-0014,60,280,200
1203,2.0,2021-2022,I-81,19600905-0003,40,280,200
1086,3.0,2021-2022,I-82,19560705-0025,40,280,240
1180,2.0,2021-2022,I-83,19560705-0025,20,260,360
1167,2.0,2021-2022,I-84,19650303-0019,60,260,360
1136,2.0,2021-2022,I-85,19590129-0004,60,260,420
1048,1.0,2021-2022,I-86,19690917-0022,60,240,360
1194,2.0,2021-2022,I-87,19570828-0008,20,280,360
1079,1.0,2021-2022,I-88,19640220-0029,20,280,280
1054,4.0,2021-2022,I-89,19570826-0012,20,280,280
1043,2.0,2021-2022,I-90,19560612-0010,60,240,420
1006,4.0,2021-2022,I-91,19580218-0007,60,280,420
1263,1.0,2022-2023,I-92,19580515-0017,50,240,240
1282,3.0,2022-2023,I-93,19620424-0026,40,280,300
1170,3.0,2022-2023,I-94,19570828-0008,20,240,200
1098,4.0,2022-2023,I-95,19611219-0014,40,240,420
1005,4.0,2022-2023,I-96,19590129-0004,40,240,200
1255,3.0,2022-2023,I-97,19660630-0020,20,280,420
1222,3.0,2022-2023,I-98,19611219-0014,60,240,360
1178,3.0,2022-2023,I-99,19680712-0028,60,260,300
1088,1.0,2022-2023,I-100,19650303-0019,60,240,300
1070,3.0,2022-2023,I-101,19601021-0018,60,240,420
1067,2.0,2022-2023,I-102,19580515-0017,40,240,360
1014,3.0,2023-2024,I-103,19561222-0030,50,260,300
1299,4.0,2023-2024,I-104,19630126-0001,60,280,200
1296,2.0,2023-2024,I-105,19570828-0008,20,260,240
1132,3.0,2023-2024,I-106,19590129-0004,60,260,240
1046,2.0,2023-2024,I-107,19570615-0011,20,240,360
1289,2.0,2023-2024,I-108,19610620-0006,20,240,360
1223,1.0,2023-2024,I-109,19650303-0019,50,240,200
1137,2.0,2023-2024,I-110,19611219-0014,50,240,300
1082,4.0,2023-2024,I-111,19580515-0017,40,280,300
1265,1.0,2013-2014,I-112,19561222-0030,60,240,360
1213,3.0,2013-2014,I-113,19590129-0004,40,280,280
1085,3.0,2013-2014,I-114,19561222-0030,20,240,360
1075,1.0,2013-2014,I-115,19620424-0026,50,260,420
1272,2.0,2013-2014,I-116,19601021-0018,60,240,240
1139,3.0,2013-2014,I-117,19650303-0019,20,240,200
1101,1.0,2013-2014,I-118,19570615-0011,60,280,240
1098,4.0,2013-2014,I-119,19561222-0030,50,240,420
1083,1.0,2013-2014,I-120,19680712-0028,60,280,300
1185,3.0,2014-2015,I-121,19560705-0025,50,260,420
1271,2.0,2014-2015,I-122,19690408-0009,20,240,420
1258,3.0,2014-2015,I-123,19600529-0021,20,240,200
1073,2.0,2014-2015,I-124,19690917-0022,60,260,280
1065,3.0,2014-2015,I-125,19580515-0017,60,240,300
1218,4.0,2014-2015,I-126,19570828-0008,40,280,200
1208,4.0,2014-2015,I-127,19690917-0022,60,260,280
1100,3.0,2014-2015,I-128,19580515-0017,50,260,240
1090,1.0,2014-2015,I-129,19620424-0026,50,280,300
1221,2.0,2015-2016,I-130,19600905-0003,50,240,240
1073,4.0,2015-2016,I-131,19570828-0008,60,260,200
1230,4.0,2015-2016,I-132,19610620-0006,40,280,420
1208,4.0,2015-2016,I-133,19600905-0003,40,280,420
1201,3.0,2015-2016,I-134,19560812-0016,20,260,360
1199,4.0,2015-2016,I-135,19680712-0028,60,280,280
1144,3.0,2015-2016,I-136,19610918-0027,20,240,200
1086,4.0,2015-2016,I-137,19601021-0018,40,260,240
1040,2.0,2015-2016,I-138,19600814-0002,60,240,240
1011,1.0,2015-2016,I-139,19680712-0028,20,260,200
1258,3.0,2016-2017,I-140,19561222-0030,60,280,280
1284,2.0,2016-2017,I-141,19690408-0009,60,260,300
1094,1.0,2016-2017,I-142,19560612-0010,20,260,240
1008,3.0,2016-2017,I-143,19601021-0018,50,240,280
1250,1.0,2016-2017,I-144,19611219-0014,40,260,420
1197,1.0,2016-2017,I-145,19640414-0013,40,240,240
1176,4.0,2016-2017,I-146,19620522-0023,50,280,280
1011,2.0,2016-2017,I-147,19690513-0015,40,260,360
1240,3.0,2017-2018,I-148,19570828-0008,20,260,360
1194,2.0,2017-2018,I-149,19640414-0013,40,260,240
1208,4.0,2017-2018,I-150,19600905-0003,50,280,240
1158,1.0,2017-2018,I-151,19620424-0026,50,280,300
1133,2.0,2017-2018,I-152,19601021-0018,50,260,300
1060,2.0,2017-2018,I-153,19690513-0015,20,260,420
1257,2.0,2017-2018,I-154,19560812-0016,50,240,240
1201,2.0,2017-2018,I-155,19580218-0007,50,280,280
1169,4.0,2017-2018,I-156,19600905-0003,60,240,200
1081,1.0,2017-2018,I-157,19580515-0017,40,260,240
1066,3.0,2017-2018,I-158,19561222-0030,50,260,300
1021,4.0,2017-2018,I-159,19680712-0028,40,280,280
1276,2.0,2018-2019,I-160,19600905-0003,50,280,240
1129,3.0,2018-2019,I-161,19561222-0030,60,280,300
1117,1.0,2018-2019,I-162,19640414-0013,40,240,360
1116,1.0,2018-2019,I-163,19610918-0027,20,280,420
1048,1.0,2018-2019,I-164,19601021-0018,20,240,300
1248,3.0,2018-2019,I-165,19561222-0030,20,280,200
1235,1.0,2018-2019,I-166,19630126-0001,60,260,200
1204,2.0,2018-2019,I-167,19600905-0003,60,240,280
1153,2.0,2018-2019,I-168,19640220-0029,40,260,420
1076,2.0,2018-2019,I-169,19611219-0014,20,280,240
1108,1.0,2019-2020,I-170,19610620-0006,20,260,300
1077,1.0,2019-2020,I-171,19590129-0004,20,240,360
1024,4.0,2019-2020,I-172,19660630-0020,60,260,360
1014,4.0,2019-2020,I-173,19580515-0017,60,240,300
1234,2.0,2019-2020,I-174,19590129-0004,40,280,360
1224,1.0,2019-2020,I-175,19620522-0023,50,280,280
1202,4.0,2019-2020,I-176,19561222-0030,50,280,360
1200,4.0,2019-2020,I-177,19560612-0010,60,280,200
1025,4.0,2019-2020,I-178,19580218-0007,20,260,280
1048,2.0,2020-2021,I-179,19610918-0027,40,240,200
1196,1.0,2020-2021,I-180,19640220-0029,60,240,280
1194,2.0,2020-2021,I-181,19560812-0016,20,240,360
1107,1.0,2020-2021,I-182,19680712-0028,40,240,360
1096,2.0,2020-2021,I-183,19560705-0025,20,280,280
1258,1.0,2020-2021,I-184,19560612-0010,60,240,200
1182,2.0,2020-2021,I-185,19570826-0012,60,260,280
1158,4.0,2020-2021,I-186,19600905-0003,20,240,420
1130,4.0,2020-2021,I-187,19570615-0011,60,240,420
1064,2.0,2020-2021,I-188,19630126-0001,20,260,240
1142,4.0,2021-2022,I-189,19601021-0018,40,280,300
1287,2.0,2021-2022,I-190,19570615-0011,60,260,200
1206,2.0,2021-2022,I-191,19601021-0018,40,280,280
1236,1.0,2021-2022,I-192,19610620-0006,60,280,300
1178,3.0,2021-2022,I-193,19570826-0012,40,240,200
1029,3.0,2021-2022,I-194,19640414-0013,60,240,240
1024,2.0,2021-2022,I-195,19610918-0027,50,260,240
1007,2.0,2021-2022,I-196,19570826-0012,40,280,280
1286,4.0,2022-2023,I-197,19570826-0012,20,240,300
1187,4.0,2022-2023,I-198,19560812-0016,50,280,280
1222,4.0,2022-2023,I-199,19560705-0025,40,240,200
1040,4.0,2022-2023,I-200,19620831-0024,20,260,240
1275,4.0,2022-2023,I-201,19620522-0023,60,260,200
1210,1.0,2022-2023,I-202,19560612-0010,40,240,300
1194,2.0,2022-2023,I-203,19561222-0030,20,280,420
1191,4.0,2022-2023,I-204,19560612-0010,50,260,280
1037,4.0,2022-2023,I-205,19620831-0024,60,280,240
1017,2.0,2022-2023,I-206,19560612-0010,60,240,280
1163,3.0,2023-2024,I-207,19620424-0026,50,240,300
1146,2.0,2023-2024,I-208,19690917-0022,50,260,280
1035,2.0,2023-2024,I-209,19620424-0026,50,280,200
1010,2.0,2023-2024,I-210,19640414-0013,50,280,420
1011,3.0,2023-2024,I-211,19580515-0017,60,280,200
1294,4.0,2023-2024,I-212,19561222-0030,20,240,280
1283,3.0,2023-2024,I-213,19640220-0029,20,240,420
1184,3.0,2023-2024,I-214,19640220-0029,20,260,300
1180,4.0,2023-2024,I-215,19620424-0026,50,260,420
1236,1.0,2013-2014,I-216,19640220-0029,60,260,280
1093,4.0,2013-2014,I-217,19630126-0001,20,260,360
1255,2.0,2013-2014,I-218,19600529-0021,60,280,420
1235,1.0,2013-2014,I-219,19650303-0019,50,240,240
1140,3.0,2013-2014,I-220,19560705-0025,20,280,240
1266,3.0,2013-2014,I-221,19650303-0019,50,240,200
1160,2.0,2013-2014,I-222,19600905-0003,60,280,280
1135,1.0,2013-2014,I-223,19630126-0001,20,240,240
1100,3.0,2013-2014,I-224,19560612-0010,60,260,300
1037,3.0,2013-2014,I-225,19561222-0030,60,240,280
1034,2.0,2013-2014,I-226,19640220-0029,60,260,300
1255,2.0,2014-2015,I-227,19680712-0028,20,280,200
1033,1.0,2014-2015,I-228,19630126-0001,60,240,200
1023,3.0,2014-2015,I-229,19590129-0004,60,280,280
1220,1.0,2014-2015,I-230,19620424-0026,20,240,420
1149,3.0,2014-2015,I-231,19600529-0021,20,260,300
1098,1.0,2014-2015,I-232,19580218-0007,20,260,280
1076,2.0,2014-2015,I-233,19560705-0025,20,260,420
1032,3.0,2014-2015,I-234,19630126-0001,40,260,300
1168,4.0,2015-2016,I-235,19650303-0019,20,280,420
1149,1.0,2015-2016,I-236,19640220-0029,50,280,420
1146,1.0,2015-2016,I-237,19580515-0017,50,280,240
1103,1.0,2015-2016,I-238,19611219-0014,40,240,240
1008,3.0,2015-2016,I-239,19640220-0029,60,260,280
1233,4.0,2015-2016,I-240,19680712-0028,40,240,420
1205,3.0,2015-2016,I-241,19620522-0023,60,280,240
1190,4.0,2015-2016,I-242,19610918-0027,20,260,360
1067,2.0,2015-2016,I-243,19570828-0008,40,240,420
1049,2.0,2015-2016,I-244,19570828-0008,20,280,420
1009,1.0,2015-2016,I-245,19620424-0026,50,240,360
1128,2.0,2016-2017,I-246,19690513-0015,50,260,300
1222,3.0,2016-2017,I-247,19610623-0005,40,240,240
1122,1.0,2016-2017,I-248,19680712-0028,60,260,280
1120,1.0,2016-2017,I-249,19561222-0030,60,260,300
1273,1.0,2016-2017,I-250,19570828-0008,20,280,240
1182,1.0,2016-2017,I-251,19690408-0009,60,280,360
1150,3.0,2016-2017,I-252,19600905-0003,60,260,280
1052,3.0,2016-2017,I-253,19690408-0009,60,280,420
1248,3.0,2017-2018,I-254,19570615-0011,50,240,420
1221,1.0,2017-2018,I-255,19640220-0029,50,260,420
1048,4.0,2017-2018,I-256,19611219-0014,50,260,300
1025,1.0,2017-2018,I-257,19570615-0011,50,260,240
1238,3.0,2017-2018,I-258,19620424-0026,40,240,280
1211,1.0,2017-2018,I-259,19560705-0025,40,260,280
1117,3.0,2017-2018,I-260,19680712-0028,40,240,360
1072,2.0,2017-2018,I-261,19611219-0014,50,240,240
1013,4.0,2018-2019,I-262,19560705-0025,40,260,360
1273,4.0,2018-2019,I-263,19610918-0027,40,280,200
1230,3.0,2018-2019,I-264,19580218-0007,20,240,360
1079,3.0,2018-2019,I-265,19610620-0006,40,240,300
1237,3.0,2018-2019,I-266,19610620-0006,20,280,240
1205,2.0,2018-2019,I-267,19570826-0012,50,240,420
1197,4.0,2018-2019,I-268,19580515-0017,40,240,280
1185,1.0,2018-2019,I-269,19580515-0017,40,260,200
1058,2.0,2018-2019,I-270,19601021-0018,60,280,240
1043,4.0,2018-2019,I-271,19600814-0002,40,240,360
1049,3.0,2019-2020,I-272,19610620-0006,50,240,360
1205,2.0,2019-2020,I-273,19690408-0009,60,240,360
1152,2.0,2019-2020,I-274,19650303-0019,20,240,280
1055,2.0,2019-2020,I-275,19660630-0020,60,260,300
1292,4.0,2019-2020,I-276,19560812-0016,50,260,200
1189,1.0,2019-2020,I-277,19610623-0005,60,240,300
1170,1.0,2019-2020,I-278,19610918-0027,20,240,240
1118,2.0,2019-2020,I-279,19570828-0008,20,240,240
1090,1.0,2019-2020,I-280,19640220-0029,40,240,240
1073,4.0,2019-2020,I-281,19560705-0025,40,240,240
1077,4.0,2020-2021,I-282,19650303-0019,50,240,420
1213,2.0,2020-2021,I-283,19580218-0007,20,240,240
1199,3.0,2020-2021,I-284,19600529-0021,40,260,280
1049,1.0,2020-2021,I-285,19560705-0025,50,240,240
1222,1.0,2020-2021,I-286,19611219-0014,60,240,280
1192,1.0,2020-2021,I-287,19620831-0024,60,260,240
1164,4.0,2020-2021,I-288,19560612-0010,50,280,420
1113,2.0,2020-2021,I-289,19560612-0010,60,260,200
1031,2.0,2020-2021,I-290,19640414-0013,60,240,420
1276,3.0,2021-2022,I-291,19600905-0003,60,260,360
1207,3.0,2021-2022,I-292,19640414-0013,60,260,420
1118,1.0,2021-2022,I-293,19570615-0011,60,280,360
1217,4.0,2021-2022,I-294,19690513-0015,20,280,300
1162,3.0,2021-2022,I-295,19570615-0011,20,280,360
1072,4.0,2021-2022,I-296,19660630-0020,40,280,360
1064,1.0,2021-2022,I-297,19580218-0007,40,280,360
1184,3.0,2022-2023,I-298,19630126-0001,60,240,360
1218,4.0,2022-2023,I-299,19680712-0028,20,240,200
1066,1.0,2022-2023,I-300,19600814-0002,20,260,240
1272,3.0,2022-2023,I-301,19600814-0002,50,280,300
1190,2.0,2022-2023,I-302,19610623-0005,60,280,200
1131,1.0,2022-2023,I-303,19600814-0002,20,260,200
1125,3.0,2022-2023,I-304,19690408-0009,20,260,280
1046,1.0,2022-2023,I-305,19560812-0016,60,260,360
1070,1.0,2023-2024,I-306,19560705-0025,20,240,280
1009,4.0,2023-2024,I-307,19610620-0006,20,280,200
1290,4.0,2023-2024,I-308,19580515-0017,60,240,360
1173,2.0,2023-2024,I-309,19620424-0026,40,240,360
1004,3.0,2023-2024,I-310,19570828-0008,40,280,360
1296,4.0,2023-2024,I-311,19560612-0010,50,240,240
1240,4.0,2023-2024,I-312,19600814-0002,40,280,300
1160,2.0,2023-2024,I-313,19590129-0004,20,280,360
1158,3.0,2023-2024,I-314,19611219-0014,20,240,300
1115,2.0,2023-2024,I-315,19560612-0010,40,240,240
1022,4.0,2023-2024,I-316,19680712-0028,60,260,360
1162,3.0,2013-2014,I-317,19610623-0005,20,280,360
1240,2.0,2013-2014,I-318,19570615-0011,20,280,300
1101,2.0,2013-2014,I-319,19600814-0002,40,240,420
1093,1.0,2013-2014,I-320,19690513-0015,50,280,360
1262,4.0,2013-2014,I-321,19690513-0015,50,260,300
1208,3.0,2013-2014,I-322,19601021-0018,40,260,240
1199,2.0,2013-2014,I-323,19560705-0025,40,240,240
1083,2.0,2013-2014,I-324,19560612-0010,60,260,420
1121,1.0,2014-2015,I-325,19611219-0014,20,260,420
1211,2.0,2014-2015,I-326,19640414-0013,50,260,360
1171,4.0,2014-2015,I-327,19570826-0012,50,260,200
1267,1.0,2014-2015,I-328,19611219-0014,20,260,420
1263,4.0,2014-2015,I-329,19690917-0022,60,240,420
1160,1.0,2014-2015,I-330,19620522-0023,40,240,240
1108,4.0,2014-2015,I-331,19600905-0003,40,240,280
1087,3.0,2014-2015,I-332,19580218-0007,20,280,300
1083,4.0,2014-2015,I-333,19611219-0014,40,280,240
1178,3.0,2015-2016,I-334,19611219-0014,60,240,420
1218,4.0,2015-2016,I-335,19600529-0021,60,280,300
1200,1.0,2015-2016,I-336,19610620-0006,40,240,240
1107,4.0,2015-2016,I-337,19560705-0025,20,260,280
1047,3.0,2015-2016,I-338,19570826-0012,20,260,300
1293,3.0,2015-2016,I-339,19570615-0011,50,280,300
1263,4.0,2015-2016,I-340,19620522-0023,50,280,420
1262,1.0,2015-2016,I-341,19570826-0012,40,260,300
1106,2.0,2015-2016,I-342,19600905-0003,40,240,360
1291,1.0,2016-2017,I-343,19610620-0006,60,260,240
1028,3.0,2016-2017,I-344,19680712-0028,50,280,300
1265,3.0,2016-2017,I-345,19680712-0028,40,240,280
1224,3.0,2016-2017,I-346,19561222-0030,40,280,360
1209,3.0,2016-2017,I-347,19570828-0008,20,280,280
1059,2.0,2016-2017,I-348,19590129-0004,50,260,280
1283,2.0,2016-2017,I-349,19611219-0014,50,240,280
1258,3.0,2016-2017,I-350,19560812-0016,40,280,420
1115,1.0,2016-2017,I-351,19640414-0013,40,260,280
1031,4.0,2016-2017,I-352,19601021-0018,60,260,200
1295,3.0,2017-2018,I-353,19610620-0006,50,240,300
1031,4.0,2017-2018,I-354,19600814-0002,60,280,360
1297,1.0,2017-2018,I-355,19610918-0027,20,280,300
1271,1.0,2017-2018,I-356,19580218-0007,20,280,420
1084,3.0,2017-2018,I-357,19690917-0022,40,260,420
1253,4.0,2017-2018,I-358,19611219-0014,40,240,420
1166,2.0,2017-2018,I-359,19610623-0005,50,260,360
1155,2.0,2017-2018,I-360,19620424-0026,20,260,360
1088,2.0,2017-2018,I-361,19580515-0017,20,280,360
1077,2.0,2017-2018,I-362,19680712-0028,60,280,240
1104,4.0,2018-2019,I-363,19610620-0006,50,260,360
1040,2.0,2018-2019,I-364,19610620-0006,60,280,360
1256,2.0,2018-2019,I-365,19580515-0017,40,260,300
1233,3.0,2018-2019,I-366,19640414-0013,20,240,420
1184,4.0,2018-2019,I-367,19560612-0010,50,260,280
1253,1.0,2018-2019,I-368,19690513-0015,60,240,300
1189,3.0,2018-2019,I-369,19650303-0019,50,260,280
1092,2.0,2018-2019,I-370,19600529-0021,60,240,200
1015,1.0,2018-2019,I-371,19650303-0019,50,240,300
1006,4.0,2018-2019,I-372,19680712-0028,50,260,360
1224,3.0,2019-2020,I-373,19640414-0013,20,240,200
1193,4.0,2019-2020,I-374,19600529-0021,20,240,420
1142,2.0,2019-2020,I-375,19600814-0002,50,240,300
1022,2.0,2019-2020,I-376,19580515-0017,20,260,300
1289,1.0,2019-2020,I-377,19640220-0029,20,280,240
1274,1.0,2019-2020,I-378,19660630-0020,20,240,300
1152,3.0,2019-2020,I-379,19680712-0028,40,240,360
1145,2.0,2019-2020,I-380,19630126-0001,50,260,360
1136,4.0,2019-2020,I-381,19560812-0016,60,240,280
1127,2.0,2019-2020,I-382,19590129-0004,50,240,360
1218,4.0,2020-2021,I-383,19640414-0013,40,280,300
1186,4.0,2020-2021,I-384,19610620-0006,40,240,420
1228,4.0,2020-2021,I-385,19690513-0015,40,280,300
1151,3.0,2020-2021,I-386,19610620-0006,40,280,200
1109,3.0,2020-2021,I-387,19630126-0001,20,280,240
1094,3.0,2020-2021,I-388,19610620-0006,60,280,200
1264,4.0,2020-2021,I-389,19690513-0015,40,260,280
1137,1.0,2020-2021,I-390,19690513-0015,60,260,200
1105,3.0,2020-2021,I-391,19560705-0025,20,280,280
1063,2.0,2020-2021,I-392,19590129-0004,40,240,300
1047,1.0,2020-2021,I-393,19660630-0020,40,260,300
1045,3.0,2020-2021,I-394,19600529-0021,50,280,420
1224,3.0,2021-2022,I-395,19630126-0001,50,260,300
1055,1.0,2021-2022,I-396,19620522-0023,20,260,200
1236,2.0,2021-2022,I-397,19610918-0027,40,240,360
1166,4.0,2021-2022,I-398,19560812-0016,40,280,420
1047,2.0,2021-2022,I-399,19630126-0001,50,280,360
1249,2.0,2021-2022,I-400,19620424-0026,60,280,240
1149,4.0,2021-2022,I-401,19580515-0017,50,280,240
1073,1.0,2021-2022,I-402,19590129-0004,50,260,240
1045,1.0,2021-2022,I-403,19680712-0028,50,280,360
1110,4.0,2022-2023,I-404,19690513-0015,50,240,420
1251,3.0,2022-2023,I-405,19570615-0011,40,280,300
1234,1.0,2022-2023,I-406,19580218-0007,40,260,200
1102,1.0,2022-2023,I-407,19610623-0005,40,280,360
1049,3.0,2022-2023,I-408,19640220-0029,20,260,240
1242,1.0,2022-2023,I-409,19610620-0006,60,260,420
1116,2.0,2022-2023,I-410,19601021-0018,50,240,240
1087,3.0,2022-2023,I-411,19690513-0015,20,280,360
1070,4.0,2022-2023,I-412,19600814-0002,40,260,420
1069,2.0,2022-2023,I-413,19580218-0007,20,240,300
1257,1.0,2023-2024,I-414,19580515-0017,20,260,420
1232,2.0,2023-2024,I-415,19600905-0003,50,280,360
1114,1.0,2023-2024,I-416,19600814-0002,40,280,200
1076,3.0,2023-2024,I-417,19570615-0011,50,260,200
1278,2.0,2023-2024,I-418,19650303-0019,40,260,300
1261,3.0,2023-2024,I-419,19620831-0024,20,280,280
1127,2.0,2023-2024,I-420,19660630-0020,20,240,280
1126,3.0,2023-2024,I-421,19620831-0024,50,240,420
1099,2.0,2023-2024,I-422,19601021-0018,20,240,300
1236,4.0,2013-2014,I-423,19620522-0023,40,280,200
1233,2.0,2013-2014,I-424,19611219-0014,60,240,300
1183,3.0,2013-2014,I-425,19610918-0027,40,240,300
1112,1.0,2013-2014,I-426,19610620-0006,60,260,200
1083,4.0,2013-2014,I-427,19610623-0005,20,260,240
1296,2.0,2013-2014,I-428,19640220-0029,60,240,300
1248,1.0,2013-2014,I-429,19600905-0003,60,280,300
1149,2.0,2013-2014,I-430,19570826-0012,50,260,360
1066,4.0,2013-2014,I-431,19570826-0012,20,260,240
1035,4.0,2013-2014,I-432,19630126-0001,60,280,420
1155,1.0,2014-2015,I-433,19590129-0004,60,260,240
1100,1.0,2014-2015,I-434,19590129-0004,60,280,420
1050,4.0,2014-2015,I-435,19690513-0015,40,280,200
1044,2.0,2014-2015,I-436,19640414-0013,20,280,420
1288,2.0,2014-2015,I-437,19650303-0019,20,260,280
1257,2.0,2014-2015,I-438,19560612-0010,40,260,240
1113,3.0,2014-2015,I-439,19630126-0001,60,280,200
1009,2.0,2014-2015,I-440,19610620-0006,60,260,300
1269,1.0,2015-2016,I-441,19580218-0007,50,240,200
1138,2.0,2015-2016,I-442,19690513-0015,20,280,280
1251,1.0,2015-2016,I-443,19680712-0028,20,240,200
1242,1.0,2015-2016,I-444,19610620-0006,60,280,360
1293,1.0,2015-2016,I-445,19630126-0001,60,260,300
1248,1.0,2015-2016,I-446,19560612-0010,50,260,200
1198,2.0,2015-2016,I-447,19650303-0019,50,240,240
1170,3.0,2015-2016,I-448,19640414-0013,60,240,300
1143,1.0,2015-2016,I-449,19650303-0019,60,280,200
1121,2.0,2015-2016,I-450,19680712-0028,40,260,240
1131,3.0,2016-2017,I-451,19570615-0011,20,260,200
1294,2.0,2016-2017,I-452,19600905-0003,20,280,200
1218,3.0,2016-2017,I-453,19590129-0004,40,240,360
1138,4.0,2016-2017,I-454,19600814-0002,60,260,360
1080,4.0,2016-2017,I-455,19570615-0011,50,280,200
1281,2.0,2016-2017,I-456,19610620-0006,20,280,200
1247,2.0,2016-2017,I-457,19600814-0002,60,280,300
1146,1.0,2016-2017,I-458,19560705-0025,40,260,280
1119,2.0,2016-2017,I-459,19620424-0026,40,280,280
1240,4.0,2017-2018,I-460,19560705-0025,20,280,420
1192,4.0,2017-2018,I-461,19580218-0007,40,260,300
1252,2.0,2017-2018,I-462,19570826-0012,50,260,240
1230,4.0,2017-2018,I-463,19690408-0009,50,240,420
