RegistrationID,Course Instance,Student id,Status,Grade
165,I-27,19891130-0023,completed,3.0
166,I-4751,19891130-0023,completed,5.0
167,I-4125,19891130-0023,completed,5.0
168,I-4863,19891130-0023,completed,5.0
169,I-3905,19891130-0023,completed,3.0
170,I-5077,19891130-0023,completed,3.0
171,I-5150,19860208-0024,completed,3.0
172,I-5151,19860208-0024,completed,3.0
173,I-5154,19860208-0024,completed,4.0
174,I-2642,19860208-0024,completed,3.0
175,I-3999,19851213-0025,completed,4.0
176,I-4633,19851213-0025,completed,5.0
177,I-2969,19851213-0025,completed,3.0
178,I-1809,19851213-0025,completed,5.0
179,I-4425,19851213-0025,completed,4.0
180,I-4859,19851213-0025,completed,4.0
181,I-3690,19851213-0025,completed,3.0
182,I-5386,19851213-0025,completed,3.0
183,I-4541,19851213-0025,completed,3.0
184,I-4543,19851213-0025,completed,4.0
185,I-246,19851213-0025,completed,3.0
186,I-5079,19851213-0025,completed,4.0
187,I-428,19870512-0028,completed,5.0
188,I-317,19870512-0028,completed,4.0
189,I-3063,19870512-0028,completed,3.0
190,I-3370,19870512-0028,completed,4.0
191,I-3477,19870512-0028,completed,3.0
192,I-3479,19870512-0028,completed,5.0
193,I-3790,19870512-0028,completed,3.0
194,I-3483,19870512-0028,completed,5.0
195,I-4955,19870215-0031,completed,4.0
196,I-3280,19870215-0031,completed,3.0
197,I-5066,19870215-0031,completed,3.0
198,I-4960,19870215-0031,completed,3.0
199,I-4963,19870215-0031,completed,4.0
200,I-3177,19870215-0031,completed,4.0
201,I-4958,19870215-0031,completed,5.0
202,I-441,19870215-0031,completed,3.0
203,I-2450,19870215-0031,completed,4.0
204,I-345,19870215-0031,completed,5.0
205,I-4868,19870215-0031,completed,3.0
206,I-5074,19870215-0031,completed,5.0
207,I-5075,19870215-0031,completed,4.0
208,I-4137,19870215-0031,completed,5.0
209,I-5189,19870215-0031,completed,5.0
210,I-52,19870215-0031,completed,5.0
211,I-3400,19870215-0031,completed,4.0
212,I-4210,19881204-0033,completed,4.0
213,I-2649,19881204-0033,completed,5.0
214,I-2646,19881204-0033,completed,3.0
215,I-2445,19881204-0033,completed,3.0
216,I-5388,19881204-0033,completed,4.0
217,I-2765,19881204-0033,completed,5.0
218,I-3183,19881204-0033,completed,5.0
219,I-2356,19881204-0033,completed,3.0
220,I-2764,19881204-0033,completed,3.0
221,I-2772,19881204-0033,completed,4.0
222,I-3795,19881204-0033,completed,4.0
223,I-1610,19881204-0033,completed,5.0
224,I-2769,19881204-0033,completed,3.0
225,I-1405,19881204-0033,completed,3.0
226,I-3079,19890416-0034,completed,5.0
227,I-1402,19890416-0034,completed,3.0
228,I-3081,19890416-0034,completed,4.0
229,I-879,19890416-0034,completed,4.0
230,I-2366,19890416-0034,completed,5.0
231,I-4236,19890416-0034,completed,3.0
232,I-5186,19890416-0034,completed,3.0
233,I-2566,19890416-0034,completed,5.0
234,I-3295,19890416-0034,completed,4.0
235,I-3711,19890416-0034,completed,4.0
236,I-3297,19890416-0034,completed,5.0
237,I-691,19890416-0034,completed,3.0
238,I-3364,19891011-0035,completed,5.0
239,I-317,19891011-0035,completed,3.0
240,I-3365,19891011-0035,completed,3.0
241,I-3369,19891011-0035,completed,3.0
242,I-3169,19891011-0035,completed,4.0
243,I-3790,19891011-0035,completed,4.0
244,I-1287,19891011-0035,completed,5.0
245,I-1597,19891011-0035,completed,5.0
246,I-2756,19890927-0036,completed,3.0
247,I-2550,19890927-0036,completed,5.0
248,I-2026,19890927-0036,completed,4.0
249,I-3072,19890927-0036,completed,4.0
250,I-5277,19890927-0036,completed,5.0
251,I-2245,19890927-0036,completed,5.0
252,I-4964,19890927-0036,completed,3.0
253,I-3179,19890927-0036,completed,5.0
254,I-3176,19890927-0036,completed,3.0
255,I-1712,19890927-0036,completed,5.0
256,I-1294,19890927-0036,completed,5.0
257,I-4639,19890927-0036,completed,5.0
258,I-3180,19890927-0036,completed,5.0
259,I-3184,19890927-0036,completed,3.0
260,I-3288,19890927-0036,completed,5.0
261,I-249,19890927-0036,completed,4.0
262,I-2989,19890927-0036,completed,3.0
263,I-3291,19890927-0036,completed,3.0
264,I-1904,19870422-0037,completed,4.0
265,I-2013,19870422-0037,completed,4.0
266,I-1909,19870422-0037,completed,4.0
267,I-1906,19870422-0037,completed,5.0
268,I-756,19870422-0037,completed,3.0
269,I-2646,19870422-0037,completed,4.0
270,I-4422,19870422-0037,completed,5.0
271,I-11,19870422-0037,completed,4.0
272,I-2026,19870422-0037,completed,3.0
273,I-2878,19870422-0037,completed,4.0
274,I-5279,19870422-0037,completed,5.0
275,I-2139,19870422-0037,completed,4.0
276,I-3698,19870422-0037,completed,3.0
277,I-237,19881020-0039,completed,4.0
278,I-666,19881020-0039,completed,3.0
279,I-667,19881020-0039,completed,3.0
280,I-2032,19881020-0039,completed,3.0
281,I-5072,19881020-0039,completed,5.0
282,I-247,19881020-0039,completed,5.0
283,I-4761,19881020-0039,completed,5.0
284,I-783,19881020-0039,completed,5.0
285,I-890,19881020-0039,completed,3.0
286,I-4136,19881020-0039,completed,4.0
287,I-2786,19881020-0039,completed,4.0
288,I-893,19881020-0039,completed,3.0
289,I-1291,19881216-0040,completed,3.0
290,I-4113,19881216-0040,completed,4.0
291,I-2770,19881216-0040,completed,5.0
292,I-4749,19881216-0040,completed,3.0
293,I-2776,19881216-0040,completed,3.0
294,I-4324,19881216-0040,completed,5.0
295,I-3907,19881216-0040,completed,4.0
296,I-5187,19881216-0040,completed,4.0
297,I-1415,19881216-0040,completed,4.0
298,I-1417,19881216-0040,completed,4.0
299,I-3291,19881216-0040,completed,5.0
300,I-1421,19881216-0040,completed,3.0
301,I-1420,19881216-0040,completed,4.0
302,I-1200,19881216-0040,completed,4.0
303,I-2873,19870720-0041,completed,3.0
304,I-2876,19870720-0041,completed,3.0
305,I-2874,19870720-0041,completed,4.0
306,I-557,19870720-0041,completed,4.0
307,I-5065,19870720-0041,completed,3.0
308,I-2878,19870720-0041,completed,5.0
309,I-2882,19870720-0041,completed,5.0
310,I-978,19870720-0041,completed,5.0
311,I-2879,19870720-0041,completed,5.0
312,I-2986,19870720-0041,completed,5.0
313,I-3495,19870720-0041,completed,4.0
314,I-2988,19870720-0041,completed,4.0
315,I-3293,19870720-0041,completed,4.0
316,I-5043,19880818-0043,completed,4.0
317,I-3160,19880818-0043,completed,3.0
318,I-5045,19880818-0043,completed,5.0
319,I-5051,19880818-0043,completed,5.0
320,I-2441,19880818-0043,completed,4.0
321,I-2969,19880818-0043,completed,5.0
322,I-5165,19880818-0043,completed,4.0
323,I-3784,19880818-0043,completed,4.0
324,I-325,19880204-0045,completed,4.0
325,I-2341,19880204-0045,completed,5.0
326,I-867,19880204-0045,completed,3.0
327,I-5489,19880204-0045,completed,5.0
328,I-25,19880204-0045,completed,5.0
329,I-442,19880204-0045,completed,4.0
330,I-443,19880204-0045,completed,5.0
331,I-444,19880204-0045,completed,3.0
332,I-885,19880204-0045,completed,3.0
333,I-3393,19880204-0045,completed,5.0
334,I-2674,19880204-0045,completed,3.0
335,I-678,19880204-0045,completed,4.0
336,I-2746,19880807-0046,completed,5.0
337,I-3570,19880807-0046,completed,5.0
338,I-1905,19880807-0046,completed,3.0
339,I-2749,19880807-0046,completed,5.0
340,I-3677,19890219-0047,completed,5.0
341,I-5152,19890219-0047,completed,5.0
342,I-2434,19890219-0047,completed,3.0
343,I-1274,19890219-0047,completed,5.0
344,I-2547,19890219-0047,completed,4.0
345,I-2548,19890219-0047,completed,5.0
346,I-4103,19890219-0047,completed,5.0
347,I-3071,19890219-0047,completed,4.0
348,I-4099,19870412-0048,completed,5.0
349,I-5044,19870412-0048,completed,5.0
350,I-643,19870412-0048,completed,3.0
351,I-4098,19870412-0048,completed,3.0
352,I-3370,19870412-0048,completed,5.0
353,I-644,19870412-0048,completed,4.0
354,I-647,19870412-0048,completed,5.0
355,I-755,19870412-0048,completed,4.0
356,I-2333,19870412-0048,completed,4.0
357,I-646,19870412-0048,completed,5.0
358,I-758,19870412-0048,completed,4.0
359,I-762,19870412-0048,completed,5.0
360,I-2135,19870412-0048,completed,3.0
361,I-127,19870412-0048,completed,5.0
362,I-134,19870412-0048,completed,4.0
363,I-3080,19870412-0048,completed,4.0
364,I-879,19870412-0048,completed,5.0
365,I-874,19870412-0048,completed,5.0
366,I-873,19870412-0048,completed,3.0
367,I-5273,19870412-0048,completed,3.0
368,I-3689,19870412-0048,completed,4.0
369,I-669,19870412-0048,completed,4.0
370,I-3277,19870412-0048,completed,3.0
371,I-872,19870412-0048,completed,5.0
372,I-11,19860119-0049,completed,4.0
373,I-12,19860119-0049,completed,5.0
374,I-331,19860119-0049,completed,5.0
375,I-15,19860119-0049,completed,5.0
376,I-130,19860119-0049,completed,4.0
377,I-5388,19860119-0049,completed,3.0
378,I-1511,19860119-0049,completed,4.0
379,I-768,19860119-0049,completed,3.0
380,I-4542,19860119-0049,completed,4.0
381,I-248,19860119-0049,completed,3.0
382,I-560,19860119-0049,completed,3.0
383,I-3187,19860119-0049,completed,4.0
384,I-2034,19880522-0050,completed,5.0
385,I-4122,19880522-0050,completed,5.0
386,I-2249,19880522-0050,completed,5.0
387,I-3590,19880522-0050,completed,4.0
388,I-345,19880522-0050,completed,3.0
389,I-247,19880522-0050,completed,3.0
390,I-1422,19880522-0050,completed,5.0
391,I-4761,19880522-0050,completed,5.0
392,I-2055,19880522-0050,completed,5.0
393,I-891,19880522-0050,completed,3.0
394,I-3917,19880522-0050,completed,3.0
395,I-51,19880522-0050,completed,4.0
396,I-959,19851109-0051,completed,3.0
397,I-2337,19851109-0051,completed,3.0
398,I-2434,19851109-0051,completed,5.0
399,I-1067,19851109-0051,completed,4.0
400,I-2547,19851109-0051,completed,3.0
401,I-2548,19851109-0051,completed,3.0
402,I-4103,19851109-0051,completed,5.0
403,I-2550,19851109-0051,completed,4.0
404,I-1700,19890611-0052,completed,3.0
405,I-1701,19890611-0052,completed,5.0
406,I-1704,19890611-0052,completed,5.0
407,I-3269,19890611-0052,completed,3.0
408,I-2026,19890611-0052,completed,5.0
409,I-1396,19890611-0052,completed,3.0
410,I-3076,19890611-0052,completed,5.0
411,I-2868,19890611-0052,completed,4.0
412,I-1811,19890611-0052,completed,3.0
413,I-4860,19890611-0052,completed,3.0
414,I-1814,19890611-0052,completed,4.0
415,I-1813,19890611-0052,completed,4.0
416,I-1815,19890611-0052,completed,3.0
417,I-2449,19890611-0052,completed,3.0
418,I-5380,19890611-0052,completed,5.0
419,I-2979,19890611-0052,completed,5.0
420,I-4936,19870427-0056,completed,4.0
421,I-2861,19870427-0056,completed,4.0
422,I-219,19870427-0056,completed,3.0
423,I-5261,19870427-0056,completed,3.0
424,I-4525,19870427-0056,completed,3.0
425,I-2021,19870427-0056,completed,5.0
426,I-662,19870427-0056,completed,5.0
427,I-4311,19870427-0056,completed,3.0
428,I-4854,19870427-0056,completed,4.0
429,I-5172,19870427-0056,completed,4.0
430,I-5382,19870427-0056,completed,4.0
431,I-5177,19870427-0056,completed,3.0
432,I-4946,19861117-0057,completed,5.0
433,I-4947,19861117-0057,completed,5.0
434,I-3073,19861117-0057,completed,4.0
435,I-4949,19861117-0057,completed,4.0
436,I-4953,19861117-0057,completed,4.0
437,I-4951,19861117-0057,completed,4.0
438,I-4423,19861117-0057,completed,4.0
439,I-4948,19861117-0057,completed,3.0
440,I-1080,19861117-0057,completed,3.0
441,I-5063,19861117-0057,completed,3.0
442,I-5065,19861117-0057,completed,4.0
443,I-5381,19861117-0057,completed,5.0
444,I-5179,19861117-0057,completed,4.0
445,I-5180,19861117-0057,completed,5.0
446,I-2147,19861117-0057,completed,4.0
447,I-984,19861117-0057,completed,3.0
448,I-565,19861117-0057,completed,3.0
449,I-1305,19861117-0057,completed,3.0
450,I-5184,19861117-0057,completed,3.0
451,I-3187,19861117-0057,completed,4.0
452,I-534,19891109-0058,completed,4.0
453,I-2637,19891109-0058,completed,3.0
454,I-2641,19891109-0058,completed,5.0
455,I-1382,19891109-0058,completed,4.0
456,I-2233,19891109-0058,completed,5.0
457,I-22,19891109-0058,completed,3.0
458,I-2757,19891109-0058,completed,3.0
459,I-2761,19891109-0058,completed,5.0
460,I-5385,19890705-0059,completed,3.0
461,I-3584,19890705-0059,completed,5.0
462,I-136,19890705-0059,completed,4.0
463,I-3586,19890705-0059,completed,5.0
464,I-3699,19890705-0059,completed,3.0
465,I-2990,19890705-0059,completed,4.0
466,I-2364,19890705-0059,completed,3.0
467,I-3702,19890705-0059,completed,3.0
468,I-2232,19860128-0061,completed,4.0
469,I-2348,19860128-0061,completed,3.0
470,I-2235,19860128-0061,completed,4.0
471,I-5169,19860128-0061,completed,4.0
472,I-2350,19860128-0061,completed,3.0
473,I-2351,19860128-0061,completed,4.0
474,I-2353,19860128-0061,completed,5.0
475,I-1512,19860128-0061,completed,3.0
476,I-4310,19850704-0062,completed,3.0
477,I-3072,19850704-0062,completed,3.0
478,I-1498,19850704-0062,completed,4.0
479,I-1499,19850704-0062,completed,4.0
480,I-5274,19850704-0062,completed,4.0
481,I-1610,19850704-0062,completed,5.0
482,I-1608,19850704-0062,completed,5.0
483,I-871,19850704-0062,completed,3.0
484,I-225,19860412-0063,completed,3.0
485,I-4731,19860412-0063,completed,3.0
486,I-640,19860412-0063,completed,3.0
487,I-1383,19860412-0063,completed,5.0
488,I-3467,19870918-0064,completed,3.0
489,I-2956,19870918-0064,completed,3.0
490,I-2119,19870918-0064,completed,4.0
491,I-2959,19870918-0064,completed,4.0
492,I-4638,19880307-0065,completed,3.0
493,I-1088,19880307-0065,completed,4.0
494,I-4643,19880307-0065,completed,5.0
495,I-2138,19880307-0065,completed,4.0
496,I-4640,19880307-0065,completed,3.0
497,I-4649,19880307-0065,completed,4.0
498,I-4645,19880307-0065,completed,4.0
499,I-3184,19880307-0065,completed,4.0
500,I-4644,19880307-0065,completed,3.0
501,I-2244,19880307-0065,completed,3.0
502,I-3907,19880307-0065,completed,5.0
503,I-4755,19880307-0065,completed,4.0
504,I-4757,19880307-0065,completed,5.0
505,I-4756,19880307-0065,completed,5.0
506,I-1951,19880307-0065,completed,3.0
507,I-3195,19880307-0065,completed,3.0
508,I-155,19880307-0065,completed,5.0
509,I-3303,19880307-0065,completed,5.0
510,I-4644,19861216-0066,completed,5.0
511,I-5278,19861216-0066,completed,5.0
512,I-3178,19861216-0066,completed,3.0
513,I-1711,19861216-0066,completed,5.0
514,I-1725,19861216-0066,completed,3.0
515,I-989,19861216-0066,completed,4.0
516,I-4541,19861216-0066,completed,4.0
517,I-1821,19861216-0066,completed,3.0
518,I-1298,19850124-0067,completed,4.0
519,I-3382,19850124-0067,completed,4.0
520,I-3384,19850124-0067,completed,5.0
521,I-4531,19850124-0067,completed,3.0
522,I-2362,19850124-0067,completed,3.0
523,I-5392,19850124-0067,completed,4.0
524,I-3070,19880118-0068,completed,3.0
525,I-3071,19880118-0068,completed,3.0
526,I-3997,19880118-0068,completed,3.0
527,I-1703,19880118-0068,completed,4.0
528,I-3174,19880118-0068,completed,5.0
529,I-3175,19880118-0068,completed,3.0
530,I-3179,19880118-0068,completed,3.0
531,I-3185,19880118-0068,completed,3.0
532,I-3288,19880118-0068,completed,4.0
533,I-3290,19880118-0068,completed,5.0
534,I-5396,19880118-0068,completed,4.0
535,I-4650,19880118-0068,completed,5.0
536,I-1273,19870727-0069,completed,4.0
537,I-2543,19870727-0069,completed,5.0
538,I-1278,19870727-0069,completed,5.0
539,I-3069,19870727-0069,completed,3.0
540,I-3788,19870727-0069,completed,5.0
541,I-1392,19870727-0069,completed,4.0
542,I-1397,19870727-0069,completed,3.0
543,I-1399,19870727-0069,completed,4.0
544,I-1395,19870727-0069,completed,4.0
545,I-1394,19870727-0069,completed,4.0
546,I-2762,19870727-0069,completed,4.0
547,I-1398,19870727-0069,completed,3.0
548,I-1922,19851126-0070,completed,4.0
549,I-1923,19851126-0070,completed,4.0
550,I-1924,19851126-0070,completed,5.0
551,I-1925,19851126-0070,completed,4.0
552,I-676,19851126-0070,completed,4.0
553,I-2038,19851126-0070,completed,3.0
554,I-1304,19851126-0070,completed,3.0
555,I-2041,19851126-0070,completed,4.0
556,I-1215,19851126-0070,completed,4.0
557,I-2157,19851126-0070,completed,3.0
558,I-4239,19851126-0070,completed,5.0
559,I-4240,19851126-0070,completed,3.0
560,I-11,19850522-0072,completed,5.0
561,I-12,19850522-0072,completed,3.0
562,I-16,19850522-0072,completed,4.0
563,I-15,19850522-0072,completed,3.0
564,I-660,19850522-0072,completed,3.0
565,I-3273,19850522-0072,completed,3.0
566,I-19,19850522-0072,completed,5.0
567,I-2240,19850522-0072,completed,3.0
568,I-1705,19850522-0072,completed,5.0
569,I-22,19850522-0072,completed,5.0
570,I-130,19850522-0072,completed,4.0
571,I-2763,19850522-0072,completed,3.0
572,I-1511,19850522-0072,completed,3.0
573,I-133,19850522-0072,completed,5.0
574,I-246,19850522-0072,completed,4.0
575,I-249,19850522-0072,completed,5.0
576,I-560,19850522-0072,completed,4.0
577,I-5186,19850522-0072,completed,3.0
578,I-3467,19861115-0074,completed,3.0
579,I-4937,19861115-0074,completed,4.0
580,I-4938,19861115-0074,completed,4.0
581,I-119,19861115-0074,completed,5.0
582,I-4525,19861115-0074,completed,5.0
583,I-5054,19861115-0074,completed,5.0
584,I-2869,19861115-0074,completed,3.0
585,I-4744,19861115-0074,completed,3.0
586,I-2768,19861115-0074,completed,5.0
587,I-1088,19861115-0074,completed,3.0
588,I-3488,19861115-0074,completed,4.0
589,I-5173,19861115-0074,completed,5.0
590,I-1494,19890622-0076,completed,3.0
591,I-3997,19890622-0076,completed,5.0
592,I-329,19890622-0076,completed,4.0
593,I-1500,19890622-0076,completed,5.0
594,I-1607,19890622-0076,completed,4.0
595,I-3697,19890622-0076,completed,3.0
596,I-1608,19890622-0076,completed,3.0
597,I-1613,19890622-0076,completed,4.0
598,I-4101,19850206-0077,completed,4.0
599,I-4632,19850206-0077,completed,5.0
600,I-2969,19850206-0077,completed,3.0
601,I-4111,19850206-0077,completed,3.0
602,I-4217,19850206-0077,completed,4.0
603,I-5177,19850206-0077,completed,5.0
604,I-4006,19850206-0077,completed,5.0
605,I-4963,19850206-0077,completed,4.0
606,I-4405,19860516-0078,completed,4.0
607,I-3776,19860516-0078,completed,3.0
608,I-2339,19860516-0078,completed,5.0
609,I-4409,19860516-0078,completed,5.0
610,I-4522,19860516-0078,completed,3.0
611,I-4523,19860516-0078,completed,3.0
612,I-3271,19860516-0078,completed,5.0
613,I-1285,19860516-0078,completed,3.0
614,I-2640,19891104-0079,completed,5.0
615,I-1795,19891104-0079,completed,3.0
616,I-1385,19891104-0079,completed,4.0
617,I-3778,19891104-0079,completed,5.0
618,I-1587,19870128-0080,completed,5.0
619,I-1588,19870128-0080,completed,3.0
620,I-1591,19870128-0080,completed,5.0
621,I-1176,19870128-0080,completed,5.0
622,I-754,19870128-0080,completed,5.0
623,I-1595,19870128-0080,completed,5.0
624,I-1596,19870128-0080,completed,4.0
625,I-5156,19870128-0080,completed,3.0
626,I-1592,19870128-0080,completed,4.0
627,I-1797,19870507-0082,completed,3.0
628,I-641,19870507-0082,completed,4.0
629,I-4098,19870507-0082,completed,4.0
630,I-647,19870507-0082,completed,5.0
631,I-758,19870507-0082,completed,4.0
632,I-764,19870507-0082,completed,3.0
633,I-760,19870507-0082,completed,5.0
634,I-126,19870507-0082,completed,3.0
635,I-5276,19870507-0082,completed,5.0
636,I-4322,19870507-0082,completed,5.0
637,I-879,19870507-0082,completed,4.0
638,I-980,19870507-0082,completed,5.0
639,I-1914,19870308-0083,completed,4.0
640,I-2442,19870308-0083,completed,5.0
641,I-1917,19870308-0083,completed,5.0
642,I-3481,19870308-0083,completed,3.0
643,I-2027,19870308-0083,completed,3.0
644,I-4959,19870308-0083,completed,4.0
645,I-4005,19870308-0083,completed,4.0
646,I-2033,19870308-0083,completed,4.0
647,I-32,19870308-0083,completed,3.0
648,I-5075,19870308-0083,completed,3.0
649,I-248,19870308-0083,completed,3.0
650,I-2148,19870308-0083,completed,3.0
651,I-3583,19851112-0084,completed,4.0
652,I-3584,19851112-0084,completed,5.0
653,I-136,19851112-0084,completed,4.0
654,I-3586,19851112-0084,completed,4.0
655,I-3699,19851112-0084,completed,5.0
656,I-3912,19851112-0084,completed,5.0
657,I-2364,19851112-0084,completed,3.0
658,I-40,19851112-0084,completed,4.0
659,I-4936,19861015-0085,completed,3.0
660,I-4937,19861015-0085,completed,4.0
661,I-4938,19861015-0085,completed,5.0
662,I-4939,19861015-0085,completed,3.0
663,I-5052,19861015-0085,completed,5.0
664,I-3271,19861015-0085,completed,3.0
665,I-5370,19861015-0085,completed,4.0
666,I-5053,19861015-0085,completed,5.0
667,I-4635,19861015-0085,completed,3.0
668,I-2442,19861015-0085,completed,5.0
669,I-967,19861015-0085,completed,3.0
670,I-5057,19861015-0085,completed,3.0
